class_id,class_name,current_package,is_misplaced,confidence,reasoning,suggested_package,evidence,method_used,analysis_time,analysis_timestamp
contains,contains,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
can,can,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
AnnotationUtils,AnnotationUtils,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
should,should,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
is,is,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
AppendableJoiner,AppendableJoiner,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
Builder,Builder,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
ArchUtils,ArchUtils,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
ArrayFill,ArrayFill,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
ArraySorter,ArraySorter,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
tries,tries,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
ArrayUtils,ArrayUtils,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
and,and,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
representation,representation,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
type,type,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
should,should,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
can,can,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
BitField,BitField,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
tries,tries,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
BooleanUtils,BooleanUtils,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
would,would,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
would,would,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
would,would,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
would,would,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
should,should,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
CachedRandomBits,CachedRandomBits,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
will,will,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
CharEncoding,CharEncoding,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
CharRange,CharRange,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
CharacterIterator,CharacterIterator,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
CharSequenceUtils,CharSequenceUtils,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
CharSet,CharSet,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
Charsets,Charsets,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
handles,handles,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
CharSetUtils,CharSetUtils,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
should,should,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
tries,tries,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
CharUtils,CharUtils,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
should,should,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
ClassLoaderUtils,ClassLoaderUtils,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
loader,loader,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
loader,loader,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
loader,loader,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
loader,loader,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
loader,loader,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
do,do,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
ClassPathUtils,ClassPathUtils,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
should,should,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
handles,handles,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
ClassUtils,ClassUtils,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
Interfaces,Interfaces,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
separator,separator,org.apache.commons.lang3,False,0.95,Class appears to be correctly placed,org.apache.commons.lang3,No misplacement indicators found,llm+embedding,67.7,2025-08-10T12:29:49.549244
