class_id,class_name,current_package,is_misplaced,confidence,reasoning,suggested_package,evidence,method_used,analysis_time,analysis_timestamp
ClientRebootstrapTest,ClientRebootstrapTest,org.apache.kafka.clients,False,0.95,Class appears to be correctly placed,org.apache.kafka.clients,No misplacement indicators found,llm+embedding,271.71,2025-08-10T01:12:07.171956
ClientsTestUtils,ClientsTestUtils,org.apache.kafka.clients,False,0.95,Class appears to be correctly placed,org.apache.kafka.clients,No misplacement indicators found,llm+embedding,271.71,2025-08-10T01:12:07.171956
is,is,org.apache.kafka.clients,False,0.95,Class appears to be correctly placed,org.apache.kafka.clients,No misplacement indicators found,llm+embedding,271.71,2025-08-10T01:12:07.171956
BaseConsumerTestcase,BaseConsumerTestcase,org.apache.kafka.clients,False,0.95,Class appears to be correctly placed,org.apache.kafka.clients,No misplacement indicators found,llm+embedding,271.71,2025-08-10T01:12:07.171956
TestClusterResourceListenerSerializer,TestClusterResourceListenerSerializer,org.apache.kafka.clients,False,0.95,Class appears to be correctly placed,org.apache.kafka.clients,No misplacement indicators found,llm+embedding,271.71,2025-08-10T01:12:07.171956
TestClusterResourceListenerDeserializer,TestClusterResourceListenerDeserializer,org.apache.kafka.clients,False,0.95,Class appears to be correctly placed,org.apache.kafka.clients,No misplacement indicators found,llm+embedding,271.71,2025-08-10T01:12:07.171956
RetryCommitCallback,RetryCommitCallback,org.apache.kafka.clients,False,0.95,Class appears to be correctly placed,org.apache.kafka.clients,No misplacement indicators found,llm+embedding,271.71,2025-08-10T01:12:07.171956
TestConsumerReassignmentListener,TestConsumerReassignmentListener,org.apache.kafka.clients,False,0.95,Class appears to be correctly placed,org.apache.kafka.clients,No misplacement indicators found,llm+embedding,271.71,2025-08-10T01:12:07.171956
CreateTopicsRequestWithPolicyTest,CreateTopicsRequestWithPolicyTest,org.apache.kafka.clients,False,0.95,Class appears to be correctly placed,org.apache.kafka.clients,No misplacement indicators found,llm+embedding,271.71,2025-08-10T01:12:07.171956
Policy,Policy,org.apache.kafka.clients,False,0.95,Class appears to be correctly placed,org.apache.kafka.clients,No misplacement indicators found,llm+embedding,271.71,2025-08-10T01:12:07.171956
