class_id,class_name,current_package,is_misplaced,confidence,reasoning,suggested_package,evidence,method_used,analysis_time,analysis_timestamp
methods,methods,org.apache.nifi.c2.client.api,False,0.95,Class appears to be correctly placed,org.apache.nifi.c2.client.api,No misplacement indicators found,llm+embedding,237.97,2025-08-10T00:16:43.605802
C2Client,C2Client,org.apache.nifi.c2.client.api,False,0.95,Class appears to be correctly placed,org.apache.nifi.c2.client.api,No misplacement indicators found,llm+embedding,237.97,2025-08-10T00:16:43.605802
C2ClientConfig,C2ClientConfig,org.apache.nifi.c2.client,False,0.95,Class appears to be correctly placed,org.apache.nifi.c2.client,No misplacement indicators found,llm+embedding,237.97,2025-08-10T00:16:43.605802
Builder,Builder,org.apache.nifi.c2.client,False,0.95,Class appears to be correctly placed,org.apache.nifi.c2.client,No misplacement indicators found,llm+embedding,237.97,2025-08-10T00:16:43.605802
IdGenerator,IdGenerator,org.apache.nifi.c2.client,False,0.95,Class appears to be correctly placed,org.apache.nifi.c2.client,No misplacement indicators found,llm+embedding,237.97,2025-08-10T00:16:43.605802
PersistentUuidGenerator,PersistentUuidGenerator,org.apache.nifi.c2.client,False,0.95,Class appears to be correctly placed,org.apache.nifi.c2.client,No misplacement indicators found,llm+embedding,237.97,2025-08-10T00:16:43.605802
C2JacksonSerializer,C2JacksonSerializer,org.apache.nifi.c2.serializer,False,0.95,Class appears to be correctly placed,org.apache.nifi.c2.serializer,No misplacement indicators found,llm+embedding,237.97,2025-08-10T00:16:43.605802
to,to,org.apache.nifi.c2.serializer,False,0.95,Class appears to be correctly placed,org.apache.nifi.c2.serializer,No misplacement indicators found,llm+embedding,237.97,2025-08-10T00:16:43.605802
C2Serializer,C2Serializer,org.apache.nifi.c2.serializer,False,0.95,Class appears to be correctly placed,org.apache.nifi.c2.serializer,No misplacement indicators found,llm+embedding,237.97,2025-08-10T00:16:43.605802
of,of,org.apache.nifi.c2.serializer,False,0.95,Class appears to be correctly placed,org.apache.nifi.c2.serializer,No misplacement indicators found,llm+embedding,237.97,2025-08-10T00:16:43.605802
of,of,org.apache.nifi.c2.serializer,False,0.95,Class appears to be correctly placed,org.apache.nifi.c2.serializer,No misplacement indicators found,llm+embedding,237.97,2025-08-10T00:16:43.605802
OperandTypeDeserializer,OperandTypeDeserializer,org.apache.nifi.c2.serializer,False,0.95,Class appears to be correctly placed,org.apache.nifi.c2.serializer,No misplacement indicators found,llm+embedding,237.97,2025-08-10T00:16:43.605802
FileUtils,FileUtils,org.apache.nifi.c2.util,False,0.95,Class appears to be correctly placed,org.apache.nifi.c2.util,No misplacement indicators found,llm+embedding,237.97,2025-08-10T00:16:43.605802
Preconditions,Preconditions,org.apache.nifi.c2.util,False,0.95,Class appears to be correctly placed,org.apache.nifi.c2.util,No misplacement indicators found,llm+embedding,237.97,2025-08-10T00:16:43.605802
C2HttpClient,C2HttpClient,org.apache.nifi.c2.client.http,False,0.95,Class appears to be correctly placed,org.apache.nifi.c2.client.http,No misplacement indicators found,llm+embedding,237.97,2025-08-10T00:16:43.605802
C2RequestCompression,C2RequestCompression,org.apache.nifi.c2.client.http,False,0.95,Class appears to be correctly placed,org.apache.nifi.c2.client.http,No misplacement indicators found,llm+embedding,237.97,2025-08-10T00:16:43.605802
C2ServerException,C2ServerException,org.apache.nifi.c2.client.http,False,0.95,Class appears to be correctly placed,org.apache.nifi.c2.client.http,No misplacement indicators found,llm+embedding,237.97,2025-08-10T00:16:43.605802
OkHttpClientProvider,OkHttpClientProvider,org.apache.nifi.c2.client.http,False,0.95,Class appears to be correctly placed,org.apache.nifi.c2.client.http,No misplacement indicators found,llm+embedding,237.97,2025-08-10T00:16:43.605802
C2UrlProvider,C2UrlProvider,org.apache.nifi.c2.client.http.url,False,0.95,Class appears to be correctly placed,org.apache.nifi.c2.client.http.url,No misplacement indicators found,llm+embedding,237.97,2025-08-10T00:16:43.605802
C2UrlProviderFactory,C2UrlProviderFactory,org.apache.nifi.c2.client.http.url,False,0.95,Class appears to be correctly placed,org.apache.nifi.c2.client.http.url,No misplacement indicators found,llm+embedding,237.97,2025-08-10T00:16:43.605802
LegacyC2UrlProvider,LegacyC2UrlProvider,org.apache.nifi.c2.client.http.url,False,0.95,Class appears to be correctly placed,org.apache.nifi.c2.client.http.url,No misplacement indicators found,llm+embedding,237.97,2025-08-10T00:16:43.605802
ProxyAwareC2UrlProvider,ProxyAwareC2UrlProvider,org.apache.nifi.c2.client.http.url,False,0.95,Class appears to be correctly placed,org.apache.nifi.c2.client.http.url,No misplacement indicators found,llm+embedding,237.97,2025-08-10T00:16:43.605802
C2HttpClientTest,C2HttpClientTest,org.apache.nifi.c2.client.http,False,0.95,Class appears to be correctly placed,org.apache.nifi.c2.client.http,No misplacement indicators found,llm+embedding,237.97,2025-08-10T00:16:43.605802
C2RequestCompressionTest,C2RequestCompressionTest,org.apache.nifi.c2.client.http,False,0.95,Class appears to be correctly placed,org.apache.nifi.c2.client.http,No misplacement indicators found,llm+embedding,237.97,2025-08-10T00:16:43.605802
C2UrlProviderFactoryTest,C2UrlProviderFactoryTest,org.apache.nifi.c2.client.http.url,False,0.95,Class appears to be correctly placed,org.apache.nifi.c2.client.http.url,No misplacement indicators found,llm+embedding,237.97,2025-08-10T00:16:43.605802
LegacyC2UrlProviderTest,LegacyC2UrlProviderTest,org.apache.nifi.c2.client.http.url,False,0.95,Class appears to be correctly placed,org.apache.nifi.c2.client.http.url,No misplacement indicators found,llm+embedding,237.97,2025-08-10T00:16:43.605802
ProxyAwareC2ProviderTest,ProxyAwareC2ProviderTest,org.apache.nifi.c2.client.http.url,False,0.95,Class appears to be correctly placed,org.apache.nifi.c2.client.http.url,No misplacement indicators found,llm+embedding,237.97,2025-08-10T00:16:43.605802
C2HeartbeatFactory,C2HeartbeatFactory,org.apache.nifi.c2.client.service,False,0.95,Class appears to be correctly placed,org.apache.nifi.c2.client.service,No misplacement indicators found,llm+embedding,237.97,2025-08-10T00:16:43.605802
C2HeartbeatManager,C2HeartbeatManager,org.apache.nifi.c2.client.service,False,0.95,Class appears to be correctly placed,org.apache.nifi.c2.client.service,No misplacement indicators found,llm+embedding,237.97,2025-08-10T00:16:43.605802
