class_id,class_name,current_package,is_misplaced,confidence,reasoning,suggested_package,evidence,method_used,analysis_time,analysis_timestamp
ConfigurableTopology,ConfigurableTopology,org.apache.stormcrawler,False,0.95,Class appears to be correctly placed,org.apache.stormcrawler,No misplacement indicators found,llm+embedding,10.61,2025-08-10T00:09:00.835316
Constants,Constants,org.apache.stormcrawler,False,0.95,Class appears to be correctly placed,org.apache.stormcrawler,No misplacement indicators found,llm+embedding,10.61,2025-08-10T00:09:00.835316
JSONResource,JSONResource,org.apache.stormcrawler,False,0.95,Class appears to be correctly placed,org.apache.stormcrawler,No misplacement indicators found,llm+embedding,10.61,2025-08-10T00:09:00.835316
Metadata,Metadata,org.apache.stormcrawler,False,0.95,Class appears to be correctly placed,org.apache.stormcrawler,No misplacement indicators found,llm+embedding,10.61,2025-08-10T00:09:00.835316
FeedParserBolt,FeedParserBolt,org.apache.stormcrawler.bolt,False,0.95,Class appears to be correctly placed,org.apache.stormcrawler.bolt,No misplacement indicators found,llm+embedding,10.61,2025-08-10T00:09:00.835316
FetcherBolt,FetcherBolt,org.apache.stormcrawler.bolt,False,0.95,Class appears to be correctly placed,org.apache.stormcrawler.bolt,No misplacement indicators found,llm+embedding,10.61,2025-08-10T00:09:00.835316
described,described,org.apache.stormcrawler.bolt,False,0.95,Class appears to be correctly placed,org.apache.stormcrawler.bolt,No misplacement indicators found,llm+embedding,10.61,2025-08-10T00:09:00.835316
FetchItem,FetchItem,org.apache.stormcrawler.bolt,False,0.95,Class appears to be correctly placed,org.apache.stormcrawler.bolt,No misplacement indicators found,llm+embedding,10.61,2025-08-10T00:09:00.835316
handles,handles,org.apache.stormcrawler.bolt,False,0.95,Class appears to be correctly placed,org.apache.stormcrawler.bolt,No misplacement indicators found,llm+embedding,10.61,2025-08-10T00:09:00.835316
FetchItemQueue,FetchItemQueue,org.apache.stormcrawler.bolt,False,0.95,Class appears to be correctly placed,org.apache.stormcrawler.bolt,No misplacement indicators found,llm+embedding,10.61,2025-08-10T00:09:00.835316
FetchItemQueues,FetchItemQueues,org.apache.stormcrawler.bolt,False,0.95,Class appears to be correctly placed,org.apache.stormcrawler.bolt,No misplacement indicators found,llm+embedding,10.61,2025-08-10T00:09:00.835316
picks,picks,org.apache.stormcrawler.bolt,False,0.95,Class appears to be correctly placed,org.apache.stormcrawler.bolt,No misplacement indicators found,llm+embedding,10.61,2025-08-10T00:09:00.835316
FetcherThread,FetcherThread,org.apache.stormcrawler.bolt,False,0.95,Class appears to be correctly placed,org.apache.stormcrawler.bolt,No misplacement indicators found,llm+embedding,10.61,2025-08-10T00:09:00.835316
JSoupParserBolt,JSoupParserBolt,org.apache.stormcrawler.bolt,False,0.95,Class appears to be correctly placed,org.apache.stormcrawler.bolt,No misplacement indicators found,llm+embedding,10.61,2025-08-10T00:09:00.835316
SimpleFetcherBolt,SimpleFetcherBolt,org.apache.stormcrawler.bolt,False,0.95,Class appears to be correctly placed,org.apache.stormcrawler.bolt,No misplacement indicators found,llm+embedding,10.61,2025-08-10T00:09:00.835316
SiteMapParserBolt,SiteMapParserBolt,org.apache.stormcrawler.bolt,False,0.95,Class appears to be correctly placed,org.apache.stormcrawler.bolt,No misplacement indicators found,llm+embedding,10.61,2025-08-10T00:09:00.835316
