class_id,class_name,current_package,is_misplaced,confidence,reasoning,suggested_package,evidence,method_used,analysis_time,analysis_timestamp
Beta,Beta,com.google.common.annotations,False,0.95,Class appears to be correctly placed,com.google.common.annotations,No misplacement indicators found,llm+embedding,276.23,2025-08-10T12:24:44.941573
GwtCompatible,GwtCompatible,com.google.common.annotations,False,0.95,Class appears to be correctly placed,com.google.common.annotations,No misplacement indicators found,llm+embedding,276.23,2025-08-10T12:24:44.941573
GwtIncompatible,GwtIncompatible,com.google.common.annotations,False,0.95,Class appears to be correctly placed,com.google.common.annotations,No misplacement indicators found,llm+embedding,276.23,2025-08-10T12:24:44.941573
J2ktIncompatible,J2ktIncompatible,com.google.common.annotations,False,0.95,Class appears to be correctly placed,com.google.common.annotations,No misplacement indicators found,llm+embedding,276.23,2025-08-10T12:24:44.941573
VisibleForTesting,VisibleForTesting,com.google.common.annotations,False,0.95,Class appears to be correctly placed,com.google.common.annotations,No misplacement indicators found,llm+embedding,276.23,2025-08-10T12:24:44.941573
Absent,Absent,com.google.common.base,False,0.95,Class appears to be correctly placed,com.google.common.base,No misplacement indicators found,llm+embedding,276.23,2025-08-10T12:24:44.941573
is,is,com.google.common.base,False,0.95,Class appears to be correctly placed,com.google.common.base,No misplacement indicators found,llm+embedding,276.23,2025-08-10T12:24:44.941573
AbstractIterator,AbstractIterator,com.google.common.base,False,0.95,Class appears to be correctly placed,com.google.common.base,No misplacement indicators found,llm+embedding,276.23,2025-08-10T12:24:44.941573
State,State,com.google.common.base,False,0.95,Class appears to be correctly placed,com.google.common.base,No misplacement indicators found,llm+embedding,276.23,2025-08-10T12:24:44.941573
Ascii,Ascii,com.google.common.base,False,0.95,Class appears to be correctly placed,com.google.common.base,No misplacement indicators found,llm+embedding,276.23,2025-08-10T12:24:44.941573
for,for,com.google.common.base,False,0.95,Class appears to be correctly placed,com.google.common.base,No misplacement indicators found,llm+embedding,276.23,2025-08-10T12:24:44.941573
CaseFormat,CaseFormat,com.google.common.base,False,0.95,Class appears to be correctly placed,com.google.common.base,No misplacement indicators found,llm+embedding,276.23,2025-08-10T12:24:44.941573
naming,naming,com.google.common.base,False,0.95,Class appears to be correctly placed,com.google.common.base,No misplacement indicators found,llm+embedding,276.23,2025-08-10T12:24:44.941573
StringConverter,StringConverter,com.google.common.base,False,0.95,Class appears to be correctly placed,com.google.common.base,No misplacement indicators found,llm+embedding,276.23,2025-08-10T12:24:44.941573
deals,deals,com.google.common.base,False,0.95,Class appears to be correctly placed,com.google.common.base,No misplacement indicators found,llm+embedding,276.23,2025-08-10T12:24:44.941573
CharMatcher,CharMatcher,com.google.common.base,False,0.95,Class appears to be correctly placed,com.google.common.base,No misplacement indicators found,llm+embedding,276.23,2025-08-10T12:24:44.941573
documentation,documentation,com.google.common.base,False,0.95,Class appears to be correctly placed,com.google.common.base,No misplacement indicators found,llm+embedding,276.23,2025-08-10T12:24:44.941573
documentation,documentation,com.google.common.base,False,0.95,Class appears to be correctly placed,com.google.common.base,No misplacement indicators found,llm+embedding,276.23,2025-08-10T12:24:44.941573
documentation,documentation,com.google.common.base,False,0.95,Class appears to be correctly placed,com.google.common.base,No misplacement indicators found,llm+embedding,276.23,2025-08-10T12:24:44.941573
documentation,documentation,com.google.common.base,False,0.95,Class appears to be correctly placed,com.google.common.base,No misplacement indicators found,llm+embedding,276.23,2025-08-10T12:24:44.941573
documentation,documentation,com.google.common.base,False,0.95,Class appears to be correctly placed,com.google.common.base,No misplacement indicators found,llm+embedding,276.23,2025-08-10T12:24:44.941573
FastMatcher,FastMatcher,com.google.common.base,False,0.95,Class appears to be correctly placed,com.google.common.base,No misplacement indicators found,llm+embedding,276.23,2025-08-10T12:24:44.941573
NamedFastMatcher,NamedFastMatcher,com.google.common.base,False,0.95,Class appears to be correctly placed,com.google.common.base,No misplacement indicators found,llm+embedding,276.23,2025-08-10T12:24:44.941573
NegatedFastMatcher,NegatedFastMatcher,com.google.common.base,False,0.95,Class appears to be correctly placed,com.google.common.base,No misplacement indicators found,llm+embedding,276.23,2025-08-10T12:24:44.941573
BitSetMatcher,BitSetMatcher,com.google.common.base,False,0.95,Class appears to be correctly placed,com.google.common.base,No misplacement indicators found,llm+embedding,276.23,2025-08-10T12:24:44.941573
