class_id,class_name,current_package,is_misplaced,confidence,reasoning,suggested_package,evidence,method_used,analysis_time,analysis_timestamp
BlasLapackGenerator,BlasLapackGenerator,org.deeplearning4j,False,0.95,Class appears to be correctly placed,org.deeplearning4j,No misplacement indicators found,llm+embedding,218.25,2025-08-10T00:24:54.266206
NoOpBlasLapackGenerator,NoOpBlasLapackGenerator,org.deeplearning4j,False,0.95,Class appears to be correctly placed,org.deeplearning4j,No misplacement indicators found,llm+embedding,218.25,2025-08-10T00:24:54.266206
OpenblasBlasLapackGenerator,OpenblasBlasLapackGenerator,org.deeplearning4j,False,0.95,Class appears to be correctly placed,org.deeplearning4j,No misplacement indicators found,llm+embedding,218.25,2025-08-10T00:24:54.266206
OpDeclarationDescriptor,OpDeclarationDescriptor,org.nd4j.descriptor,False,0.95,Class appears to be correctly placed,org.nd4j.descriptor,No misplacement indicators found,llm+embedding,218.25,2025-08-10T00:24:54.266206
OpDeclarationType,OpDeclarationType,org.nd4j.descriptor,False,0.95,Class appears to be correctly placed,org.nd4j.descriptor,No misplacement indicators found,llm+embedding,218.25,2025-08-10T00:24:54.266206
ParseOpFile,ParseOpFile,org.nd4j.descriptor,False,0.95,Class appears to be correctly placed,org.nd4j.descriptor,No misplacement indicators found,llm+embedding,218.25,2025-08-10T00:24:54.266206
ArgDescriptorProposal,ArgDescriptorProposal,org.nd4j.descriptor.proposal,False,0.95,Class appears to be correctly placed,org.nd4j.descriptor.proposal,No misplacement indicators found,llm+embedding,218.25,2025-08-10T00:24:54.266206
ArgDescriptorSource,ArgDescriptorSource,org.nd4j.descriptor.proposal,False,0.95,Class appears to be correctly placed,org.nd4j.descriptor.proposal,No misplacement indicators found,llm+embedding,218.25,2025-08-10T00:24:54.266206
ArgDescriptorParserUtils,ArgDescriptorParserUtils,org.nd4j.descriptor.proposal.impl,False,0.95,Class appears to be correctly placed,org.nd4j.descriptor.proposal.impl,No misplacement indicators found,llm+embedding,218.25,2025-08-10T00:24:54.266206
JavaSourceArgDescriptorSource,JavaSourceArgDescriptorSource,org.nd4j.descriptor.proposal.impl,False,0.95,Class appears to be correctly placed,org.nd4j.descriptor.proposal.impl,No misplacement indicators found,llm+embedding,218.25,2025-08-10T00:24:54.266206
Libnd4jArgDescriptorSource,Libnd4jArgDescriptorSource,org.nd4j.descriptor.proposal.impl,False,0.95,Class appears to be correctly placed,org.nd4j.descriptor.proposal.impl,No misplacement indicators found,llm+embedding,218.25,2025-08-10T00:24:54.266206
Namespace,Namespace,org.nd4j.codegen,False,0.95,Class appears to be correctly placed,org.nd4j.codegen,No misplacement indicators found,llm+embedding,218.25,2025-08-10T00:24:54.266206
name,name,org.nd4j.codegen,False,0.95,Class appears to be correctly placed,org.nd4j.codegen,No misplacement indicators found,llm+embedding,218.25,2025-08-10T00:24:54.266206
name,name,org.nd4j.codegen,False,0.95,Class appears to be correctly placed,org.nd4j.codegen,No misplacement indicators found,llm+embedding,218.25,2025-08-10T00:24:54.266206
CLI,CLI,org.nd4j.codegen.cli,False,0.95,Class appears to be correctly placed,org.nd4j.codegen.cli,No misplacement indicators found,llm+embedding,218.25,2025-08-10T00:24:54.266206
