class_id,class_name,current_package,is_misplaced,confidence,reasoning,suggested_package,evidence,method_used,analysis_time,analysis_timestamp
AnnotationSpec,AnnotationSpec,com.squareup.javapoet,False,0.95,Class appears to be correctly placed,com.squareup.javapoet,No misplacement indicators found,llm+embedding,8.77,2025-08-10T01:11:30.899558
Builder,Builder,com.squareup.javapoet,False,0.95,Class appears to be correctly placed,com.squareup.javapoet,No misplacement indicators found,llm+embedding,8.77,2025-08-10T01:11:30.899558
of,of,com.squareup.javapoet,False,0.95,Class appears to be correctly placed,com.squareup.javapoet,No misplacement indicators found,llm+embedding,8.77,2025-08-10T01:11:30.899558
Visitor,Visitor,com.squareup.javapoet,False,0.95,Class appears to be correctly placed,com.squareup.javapoet,No misplacement indicators found,llm+embedding,8.77,2025-08-10T01:11:30.899558
ArrayTypeName,ArrayTypeName,com.squareup.javapoet,False,0.95,Class appears to be correctly placed,com.squareup.javapoet,No misplacement indicators found,llm+embedding,8.77,2025-08-10T01:11:30.899558
name,name,com.squareup.javapoet,False,0.95,Class appears to be correctly placed,com.squareup.javapoet,No misplacement indicators found,llm+embedding,8.77,2025-08-10T01:11:30.899558
ClassName,ClassName,com.squareup.javapoet,False,0.95,Class appears to be correctly placed,com.squareup.javapoet,No misplacement indicators found,llm+embedding,8.77,2025-08-10T01:11:30.899558
name,name,com.squareup.javapoet,False,0.95,Class appears to be correctly placed,com.squareup.javapoet,No misplacement indicators found,llm+embedding,8.77,2025-08-10T01:11:30.899558
name,name,com.squareup.javapoet,False,0.95,Class appears to be correctly placed,com.squareup.javapoet,No misplacement indicators found,llm+embedding,8.77,2025-08-10T01:11:30.899558
in,in,com.squareup.javapoet,False,0.95,Class appears to be correctly placed,com.squareup.javapoet,No misplacement indicators found,llm+embedding,8.77,2025-08-10T01:11:30.899558
is,is,com.squareup.javapoet,False,0.95,Class appears to be correctly placed,com.squareup.javapoet,No misplacement indicators found,llm+embedding,8.77,2025-08-10T01:11:30.899558
that,that,com.squareup.javapoet,False,0.95,Class appears to be correctly placed,com.squareup.javapoet,No misplacement indicators found,llm+embedding,8.77,2025-08-10T01:11:30.899558
is,is,com.squareup.javapoet,False,0.95,Class appears to be correctly placed,com.squareup.javapoet,No misplacement indicators found,llm+embedding,8.77,2025-08-10T01:11:30.899558
name,name,com.squareup.javapoet,False,0.95,Class appears to be correctly placed,com.squareup.javapoet,No misplacement indicators found,llm+embedding,8.77,2025-08-10T01:11:30.899558
name,name,com.squareup.javapoet,False,0.95,Class appears to be correctly placed,com.squareup.javapoet,No misplacement indicators found,llm+embedding,8.77,2025-08-10T01:11:30.899558
names,names,com.squareup.javapoet,False,0.95,Class appears to be correctly placed,com.squareup.javapoet,No misplacement indicators found,llm+embedding,8.77,2025-08-10T01:11:30.899558
names,names,com.squareup.javapoet,False,0.95,Class appears to be correctly placed,com.squareup.javapoet,No misplacement indicators found,llm+embedding,8.77,2025-08-10T01:11:30.899558
name,name,com.squareup.javapoet,False,0.95,Class appears to be correctly placed,com.squareup.javapoet,No misplacement indicators found,llm+embedding,8.77,2025-08-10T01:11:30.899558
name,name,com.squareup.javapoet,False,0.95,Class appears to be correctly placed,com.squareup.javapoet,No misplacement indicators found,llm+embedding,8.77,2025-08-10T01:11:30.899558
that,that,com.squareup.javapoet,False,0.95,Class appears to be correctly placed,com.squareup.javapoet,No misplacement indicators found,llm+embedding,8.77,2025-08-10T01:11:30.899558
assumes,assumes,com.squareup.javapoet,False,0.95,Class appears to be correctly placed,com.squareup.javapoet,No misplacement indicators found,llm+embedding,8.77,2025-08-10T01:11:30.899558
uses,uses,com.squareup.javapoet,False,0.95,Class appears to be correctly placed,com.squareup.javapoet,No misplacement indicators found,llm+embedding,8.77,2025-08-10T01:11:30.899558
CodeBlock,CodeBlock,com.squareup.javapoet,False,0.95,Class appears to be correctly placed,com.squareup.javapoet,No misplacement indicators found,llm+embedding,8.77,2025-08-10T01:11:30.899558
Builder,Builder,com.squareup.javapoet,False,0.95,Class appears to be correctly placed,com.squareup.javapoet,No misplacement indicators found,llm+embedding,8.77,2025-08-10T01:11:30.899558
CodeBlockJoiner,CodeBlockJoiner,com.squareup.javapoet,False,0.95,Class appears to be correctly placed,com.squareup.javapoet,No misplacement indicators found,llm+embedding,8.77,2025-08-10T01:11:30.899558
CodeWriter,CodeWriter,com.squareup.javapoet,False,0.95,Class appears to be correctly placed,com.squareup.javapoet,No misplacement indicators found,llm+embedding,8.77,2025-08-10T01:11:30.899558
is,is,com.squareup.javapoet,False,0.95,Class appears to be correctly placed,com.squareup.javapoet,No misplacement indicators found,llm+embedding,8.77,2025-08-10T01:11:30.899558
referenced,referenced,com.squareup.javapoet,False,0.95,Class appears to be correctly placed,com.squareup.javapoet,No misplacement indicators found,llm+embedding,8.77,2025-08-10T01:11:30.899558
members,members,com.squareup.javapoet,False,0.95,Class appears to be correctly placed,com.squareup.javapoet,No misplacement indicators found,llm+embedding,8.77,2025-08-10T01:11:30.899558
