class_id,class_name,current_package,is_misplaced,confidence,reasoning,suggested_package,evidence,method_used,analysis_time,analysis_timestamp
CLI,CLI,hudson.cli,False,0.95,Class appears to be correctly placed,hudson.cli,No misplacement indicators found,llm+embedding,123.17,2025-08-10T12:35:01.787763
NotTalkingToJenkinsException,NotTalkingToJenkinsException,hudson.cli,False,0.95,Class appears to be correctly placed,hudson.cli,No misplacement indicators found,llm+embedding,123.17,2025-08-10T12:35:01.787763
Mode,Mode,hudson.cli,False,0.95,Class appears to be correctly placed,hudson.cli,No misplacement indicators found,llm+embedding,123.17,2025-08-10T12:35:01.787763
CLIEndpoint,CLIEndpoint,hudson.cli,True,0.8,Contains controller-typical methods: getFileFromArguments,controller,Name matches controller pattern; Methods: getFileFromArguments,rule-based + semantic analysis,123.17,2025-08-10T12:35:01.787763
Authenticator,Authenticator,hudson.cli,False,0.95,Class appears to be correctly placed,hudson.cli,No misplacement indicators found,llm+embedding,123.17,2025-08-10T12:35:01.787763
ClientSideImpl,ClientSideImpl,hudson.cli,False,0.95,Class appears to be correctly placed,hudson.cli,No misplacement indicators found,llm+embedding,123.17,2025-08-10T12:35:01.787763
CLIConnectionFactory,CLIConnectionFactory,hudson.cli,False,0.95,Class appears to be correctly placed,hudson.cli,No misplacement indicators found,llm+embedding,123.17,2025-08-10T12:35:01.787763
DiagnosedStreamCorruptionException,DiagnosedStreamCorruptionException,hudson.cli,False,0.95,Class appears to be correctly placed,hudson.cli,No misplacement indicators found,llm+embedding,123.17,2025-08-10T12:35:01.787763
FlightRecorderInputStream,FlightRecorderInputStream,hudson.cli,False,0.95,Class appears to be correctly placed,hudson.cli,No misplacement indicators found,llm+embedding,123.17,2025-08-10T12:35:01.787763
ByteArrayRingBuffer,ByteArrayRingBuffer,hudson.cli,False,0.95,Class appears to be correctly placed,hudson.cli,No misplacement indicators found,llm+embedding,123.17,2025-08-10T12:35:01.787763
FullDuplexHttpStream,FullDuplexHttpStream,hudson.cli,False,0.95,Class appears to be correctly placed,hudson.cli,No misplacement indicators found,llm+embedding,123.17,2025-08-10T12:35:01.787763
HexDump,HexDump,hudson.cli,False,0.95,Class appears to be correctly placed,hudson.cli,No misplacement indicators found,llm+embedding,123.17,2025-08-10T12:35:01.787763
