class_id,class_name,current_package,is_misplaced,confidence,reasoning,suggested_package,evidence,method_used,analysis_time,analysis_timestamp
Person,Person,example.domain,False,0.95,Class appears to be correctly placed,example.domain,No misplacement indicators found,llm+embedding,134.01,2025-08-10T00:59:52.921163
Gender,Gender,example.domain,False,0.95,Class appears to be correctly placed,example.domain,No misplacement indicators found,llm+embedding,134.01,2025-08-10T00:59:52.921163
WebClient,WebClient,example.registration,False,0.95,Class appears to be correctly placed,example.registration,No misplacement indicators found,llm+embedding,134.01,2025-08-10T00:59:52.921163
WebResponse,WebResponse,example.registration,False,0.95,Class appears to be correctly placed,example.registration,No misplacement indicators found,llm+embedding,134.01,2025-08-10T00:59:52.921163
WebServerExtension,WebServerExtension,example.registration,False,0.95,Class appears to be correctly placed,example.registration,No misplacement indicators found,llm+embedding,134.01,2025-08-10T00:59:52.921163
Builder,Builder,example.registration,False,0.95,Class appears to be correctly placed,example.registration,No misplacement indicators found,llm+embedding,134.01,2025-08-10T00:59:52.921163
Calculator,Calculator,example.util,False,0.95,Class appears to be correctly placed,example.util,No misplacement indicators found,llm+embedding,134.01,2025-08-10T00:59:52.921163
ListWriter,ListWriter,example.util,False,0.95,Class appears to be correctly placed,example.util,No misplacement indicators found,llm+embedding,134.01,2025-08-10T00:59:52.921163
StringUtils,StringUtils,example.util,False,0.95,Class appears to be correctly placed,example.util,No misplacement indicators found,llm+embedding,134.01,2025-08-10T00:59:52.921163
AssertionsDemo,AssertionsDemo,example,False,0.95,Class appears to be correctly placed,example,No misplacement indicators found,llm+embedding,134.01,2025-08-10T00:59:52.921163
AssumptionsDemo,AssumptionsDemo,example,False,0.95,Class appears to be correctly placed,example,No misplacement indicators found,llm+embedding,134.01,2025-08-10T00:59:52.921163
AutoCloseDemo,AutoCloseDemo,example,False,0.95,Class appears to be correctly placed,example,No misplacement indicators found,llm+embedding,134.01,2025-08-10T00:59:52.921163
BeforeAndAfterSuiteDemo,BeforeAndAfterSuiteDemo,example,False,0.95,Class appears to be correctly placed,example,No misplacement indicators found,llm+embedding,134.01,2025-08-10T00:59:52.921163
