class_id,class_name,current_package,is_misplaced,confidence,reasoning,suggested_package,evidence,method_used,analysis_time,analysis_timestamp
InsertWithUuidDataChange,InsertWithUuidDataChange,liquibase.ext.change.core,False,0.95,Class appears to be correctly placed,liquibase.ext.change.core,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
MySQLBooleanType,MySQLBooleanType,liquibase.ext.datatype.core,False,0.95,Class appears to be correctly placed,liquibase.ext.datatype.core,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
of,of,liquibase.ext.datatype.core,False,0.95,Class appears to be correctly placed,liquibase.ext.datatype.core,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
PostgreSQLBlobType,PostgreSQLBlobType,liquibase.ext.datatype.core,False,0.95,Class appears to be correctly placed,liquibase.ext.datatype.core,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
of,of,liquibase.ext.datatype.core,False,0.95,Class appears to be correctly placed,liquibase.ext.datatype.core,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
PostgreSQLUuidType,PostgreSQLUuidType,liquibase.ext.datatype.core,False,0.95,Class appears to be correctly placed,liquibase.ext.datatype.core,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
of,of,liquibase.ext.datatype.core,False,0.95,Class appears to be correctly placed,liquibase.ext.datatype.core,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
Slf4JLogger,Slf4JLogger,liquibase.ext.logging.slf4j,False,0.95,Class appears to be correctly placed,liquibase.ext.logging.slf4j,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
Slf4JLogService,Slf4JLogService,liquibase.ext.logging.slf4j,False,0.95,Class appears to be correctly placed,liquibase.ext.logging.slf4j,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
ModifyColumnChange,ModifyColumnChange,liquibase.ext.sqlgenerator.core,False,0.95,Class appears to be correctly placed,liquibase.ext.sqlgenerator.core,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
ModifyColumnGenerator,ModifyColumnGenerator,liquibase.ext.sqlgenerator.core,False,0.95,Class appears to be correctly placed,liquibase.ext.sqlgenerator.core,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
ModifyColumnStatement,ModifyColumnStatement,liquibase.ext.sqlgenerator.core,False,0.95,Class appears to be correctly placed,liquibase.ext.sqlgenerator.core,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
Address,Address,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
Allergen,Allergen,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
AllergenType,AllergenType,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
Allergies,Allergies,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
Allergy,Allergy,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
values,values,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
AllergyConstants,AllergyConstants,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
AllergyProperties,AllergyProperties,org.openmrs,False,0.95,Class appears to be correctly placed,org.openmrs,No misplacement indicators found,llm+embedding,65.45,2025-08-10T12:38:31.937355
