class_id,class_name,current_package,is_misplaced,confidence,reasoning,suggested_package,evidence,method_used,analysis_time,analysis_timestamp
BasicCallTest,BasicCallTest,retrofit2,False,0.95,Class appears to be correctly placed,retrofit2,No misplacement indicators found,llm+embedding,22.96,2025-08-10T01:06:11.094019
Service,Service,retrofit2,True,0.6000000000000001,Class name 'Service' suggests service functionality,service,Name matches service pattern,rule-based + semantic analysis,22.96,2025-08-10T01:06:11.094019
CompletableFutureAndroidTest,CompletableFutureAndroidTest,retrofit2,False,0.95,Class appears to be correctly placed,retrofit2,No misplacement indicators found,llm+embedding,22.96,2025-08-10T01:06:11.094019
Service,Service,retrofit2,True,0.6000000000000001,Class name 'Service' suggests service functionality,service,Name matches service pattern,rule-based + semantic analysis,22.96,2025-08-10T01:06:11.094019
DefaultMethodsAndroidTest,DefaultMethodsAndroidTest,retrofit2,False,0.95,Class appears to be correctly placed,retrofit2,No misplacement indicators found,llm+embedding,22.96,2025-08-10T01:06:11.094019
Example,Example,retrofit2,False,0.95,Class appears to be correctly placed,retrofit2,No misplacement indicators found,llm+embedding,22.96,2025-08-10T01:06:11.094019
OptionalConverterFactoryAndroidTest,OptionalConverterFactoryAndroidTest,retrofit2,False,0.95,Class appears to be correctly placed,retrofit2,No misplacement indicators found,llm+embedding,22.96,2025-08-10T01:06:11.094019
Service,Service,retrofit2,True,0.6000000000000001,Class name 'Service' suggests service functionality,service,Name matches service pattern,rule-based + semantic analysis,22.96,2025-08-10T01:06:11.094019
UriAndroidTest,UriAndroidTest,retrofit2,False,0.95,Class appears to be correctly placed,retrofit2,No misplacement indicators found,llm+embedding,22.96,2025-08-10T01:06:11.094019
Service,Service,retrofit2,True,0.6000000000000001,Class name 'Service' suggests service functionality,service,Name matches service pattern,rule-based + semantic analysis,22.96,2025-08-10T01:06:11.094019
AnnotationArraySubject,AnnotationArraySubject,retrofit2,False,0.95,Class appears to be correctly placed,retrofit2,No misplacement indicators found,llm+embedding,22.96,2025-08-10T01:06:11.094019
CallAdapterTest,CallAdapterTest,retrofit2,False,0.95,Class appears to be correctly placed,retrofit2,No misplacement indicators found,llm+embedding,22.96,2025-08-10T01:06:11.094019
A,A,retrofit2,False,0.95,Class appears to be correctly placed,retrofit2,No misplacement indicators found,llm+embedding,22.96,2025-08-10T01:06:11.094019
CallTest,CallTest,retrofit2,False,0.95,Class appears to be correctly placed,retrofit2,No misplacement indicators found,llm+embedding,22.96,2025-08-10T01:06:11.094019
Service,Service,retrofit2,True,0.6000000000000001,Class name 'Service' suggests service functionality,service,Name matches service pattern,rule-based + semantic analysis,22.96,2025-08-10T01:06:11.094019
