class_id,class_name,current_package,is_misplaced,confidence,reasoning,suggested_package,evidence,method_used,analysis_time,analysis_timestamp
ApiGatewayApplication,ApiGatewayApplication,io.bookingmicroservices.apigateway,False,0.95,Class appears to be correctly placed,io.bookingmicroservices.apigateway,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
KeycloakGatewayConfiguration,KeycloakGatewayConfiguration,io.bookingmicroservices.apigateway,False,0.95,Class appears to be correctly placed,io.bookingmicroservices.apigateway,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
DomainEvent,DomainEvent,buildingblocks.core.event,False,0.95,Class appears to be correctly placed,buildingblocks.core.event,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
EventDispatcher,EventDispatcher,buildingblocks.core.event,False,0.95,Class appears to be correctly placed,buildingblocks.core.event,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
EventDispatcherConfiguration,EventDispatcherConfiguration,buildingblocks.core.event,True,0.95,Class name 'EventDispatcherConfiguration' suggests config functionality,config,"Name matches config pattern; Annotations: Configuration, Bean",rule-based + semantic analysis,6.22,2025-08-10T00:00:34.690215
EventDispatcherImpl,EventDispatcherImpl,buildingblocks.core.event,False,0.95,Class appears to be correctly placed,buildingblocks.core.event,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
EventMapper,EventMapper,buildingblocks.core.event,False,0.95,Class appears to be correctly placed,buildingblocks.core.event,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
IEvent,IEvent,buildingblocks.core.event,False,0.95,Class appears to be correctly placed,buildingblocks.core.event,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
IntegrationEvent,IntegrationEvent,buildingblocks.core.event,False,0.95,Class appears to be correctly placed,buildingblocks.core.event,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
InternalCommand,InternalCommand,buildingblocks.core.event,False,0.95,Class appears to be correctly placed,buildingblocks.core.event,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
AggregateNotFoundException,AggregateNotFoundException,buildingblocks.core.exception,False,0.95,Class appears to be correctly placed,buildingblocks.core.exception,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
AppException,AppException,buildingblocks.core.exception,False,0.95,Class appears to be correctly placed,buildingblocks.core.exception,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
BadRequestException,BadRequestException,buildingblocks.core.exception,False,0.95,Class appears to be correctly placed,buildingblocks.core.exception,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
ConflictException,ConflictException,buildingblocks.core.exception,False,0.95,Class appears to be correctly placed,buildingblocks.core.exception,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
CustomException,CustomException,buildingblocks.core.exception,False,0.95,Class appears to be correctly placed,buildingblocks.core.exception,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
InternalServerException,InternalServerException,buildingblocks.core.exception,False,0.95,Class appears to be correctly placed,buildingblocks.core.exception,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
NotFoundException,NotFoundException,buildingblocks.core.exception,False,0.95,Class appears to be correctly placed,buildingblocks.core.exception,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
ValidationException,ValidationException,buildingblocks.core.exception,False,0.95,Class appears to be correctly placed,buildingblocks.core.exception,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
AggregateRoot,AggregateRoot,buildingblocks.core.model,False,0.95,Class appears to be correctly placed,buildingblocks.core.model,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
BaseEntity,BaseEntity,buildingblocks.core.model,False,0.95,Class appears to be correctly placed,buildingblocks.core.model,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
FlywayConfiguration,FlywayConfiguration,buildingblocks.flyway,False,0.95,Class appears to be correctly placed,buildingblocks.flyway,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
HibernateGlobalFilter,HibernateGlobalFilter,buildingblocks.jpa,False,0.95,Class appears to be correctly placed,buildingblocks.jpa,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
JpaAuditorAwareImpl,JpaAuditorAwareImpl,buildingblocks.jpa,False,0.95,Class appears to be correctly placed,buildingblocks.jpa,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
JpaConfiguration,JpaConfiguration,buildingblocks.jpa,False,0.95,Class appears to be correctly placed,buildingblocks.jpa,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
CustomAuthenticationEntryPoint,CustomAuthenticationEntryPoint,buildingblocks.keycloak,False,0.95,Class appears to be correctly placed,buildingblocks.keycloak,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
KeycloakConfiguration,KeycloakConfiguration,buildingblocks.keycloak,False,0.95,Class appears to be correctly placed,buildingblocks.keycloak,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
KeycloakRoleConverter,KeycloakRoleConverter,buildingblocks.keycloak,False,0.95,Class appears to be correctly placed,buildingblocks.keycloak,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
KeycloakScopeConverter,KeycloakScopeConverter,buildingblocks.keycloak,False,0.95,Class appears to be correctly placed,buildingblocks.keycloak,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
LoggerConfiguration,LoggerConfiguration,buildingblocks.logger,False,0.95,Class appears to be correctly placed,buildingblocks.logger,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
Mediator,Mediator,buildingblocks.mediator,False,0.95,Class appears to be correctly placed,buildingblocks.mediator,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
MediatorConfiguration,MediatorConfiguration,buildingblocks.mediator,True,0.95,Class name 'MediatorConfiguration' suggests config functionality,config,"Name matches config pattern; Annotations: Configuration, Bean, Bean, Bean, Bean",rule-based + semantic analysis,6.22,2025-08-10T00:00:34.690215
MediatorProperties,MediatorProperties,buildingblocks.mediator,False,0.95,Class appears to be correctly placed,buildingblocks.mediator,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
MediatorRoot,MediatorRoot,buildingblocks.mediator,False,0.95,Class appears to be correctly placed,buildingblocks.mediator,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
IMediator,IMediator,buildingblocks.mediator.abstractions,False,0.95,Class appears to be correctly placed,buildingblocks.mediator.abstractions,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
IPublisher,IPublisher,buildingblocks.mediator.abstractions,False,0.95,Class appears to be correctly placed,buildingblocks.mediator.abstractions,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
ISender,ISender,buildingblocks.mediator.abstractions,False,0.95,Class appears to be correctly placed,buildingblocks.mediator.abstractions,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
public,public,buildingblocks.mediator.abstractions.commands,False,0.95,Class appears to be correctly placed,buildingblocks.mediator.abstractions.commands,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
IBaseCommand,IBaseCommand,buildingblocks.mediator.abstractions.commands,False,0.95,Class appears to be correctly placed,buildingblocks.mediator.abstractions.commands,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
ICommand,ICommand,buildingblocks.mediator.abstractions.commands,False,0.95,Class appears to be correctly placed,buildingblocks.mediator.abstractions.commands,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
ICommandHandler,ICommandHandler,buildingblocks.mediator.abstractions.commands,False,0.95,Class appears to be correctly placed,buildingblocks.mediator.abstractions.commands,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
ICommandUnit,ICommandUnit,buildingblocks.mediator.abstractions.commands,False,0.95,Class appears to be correctly placed,buildingblocks.mediator.abstractions.commands,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
ICommandUnitHandler,ICommandUnitHandler,buildingblocks.mediator.abstractions.commands,False,0.95,Class appears to be correctly placed,buildingblocks.mediator.abstractions.commands,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
INotification,INotification,buildingblocks.mediator.abstractions.notifications,False,0.95,Class appears to be correctly placed,buildingblocks.mediator.abstractions.notifications,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
INotificationHandler,INotificationHandler,buildingblocks.mediator.abstractions.notifications,False,0.95,Class appears to be correctly placed,buildingblocks.mediator.abstractions.notifications,No misplacement indicators found,llm+embedding,6.22,2025-08-10T00:00:34.690215
