class_id,class_name,current_package,is_misplaced,confidence,reasoning,suggested_package,evidence,method_used,analysis_time,analysis_timestamp
MyBatisConfig,MyBatisConfig,io.spring,False,0.95,Class appears to be correctly placed,io.spring,No misplacement indicators found,llm+embedding,3.17,2025-08-10T00:04:10.909326
RealworldApplication,RealworldApplication,io.spring,False,0.95,Class appears to be correctly placed,io.spring,No misplacement indicators found,llm+embedding,3.17,2025-08-10T00:04:10.909326
ArticleApi,ArticleApi,io.spring.api,True,0.8,"Contains controller-typical methods: deleteArticle, getTitle, getBody",controller,"Annotations: RestController, RequestMapping, GetMapping; Methods: deleteArticle, getTitle, getBody",rule-based + semantic analysis,3.17,2025-08-10T00:04:10.909326
UpdateArticleParam,UpdateArticleParam,io.spring.api,False,0.95,Class appears to be correctly placed,io.spring.api,No misplacement indicators found,llm+embedding,3.17,2025-08-10T00:04:10.909326
ArticleFavoriteApi,ArticleFavoriteApi,io.spring.api,False,0.95,Class appears to be correctly placed,io.spring.api,No misplacement indicators found,llm+embedding,3.17,2025-08-10T00:04:10.909326
ArticlesApi,ArticlesApi,io.spring.api,True,0.8,"Contains controller-typical methods: createArticle, getFeed, getArticles",controller,"Annotations: RestController, RequestMapping, PostMapping, GetMapping, GetMapping; Methods: createArticle, getFeed, getArticles",rule-based + semantic analysis,3.17,2025-08-10T00:04:10.909326
NewArticleParam,NewArticleParam,io.spring.api,False,0.95,Class appears to be correctly placed,io.spring.api,No misplacement indicators found,llm+embedding,3.17,2025-08-10T00:04:10.909326
CommentsApi,CommentsApi,io.spring.api,True,0.8,"Contains controller-typical methods: getComments, deleteComment, findArticle",controller,"Annotations: RestController, RequestMapping, PostMapping, GetMapping, RequestMapping; Methods: getComments, deleteComment, findArticle",rule-based + semantic analysis,3.17,2025-08-10T00:04:10.909326
NewCommentParam,NewCommentParam,io.spring.api,False,0.95,Class appears to be correctly placed,io.spring.api,No misplacement indicators found,llm+embedding,3.17,2025-08-10T00:04:10.909326
CurrentUserApi,CurrentUserApi,io.spring.api,True,0.8,"Contains controller-typical methods: updateProfile, getEmail",controller,"Annotations: RestController, RequestMapping, GetMapping; Methods: updateProfile, getEmail, getPassword",rule-based + semantic analysis,3.17,2025-08-10T00:04:10.909326
UpdateUserParam,UpdateUserParam,io.spring.api,False,0.95,Class appears to be correctly placed,io.spring.api,No misplacement indicators found,llm+embedding,3.17,2025-08-10T00:04:10.909326
ProfileApi,ProfileApi,io.spring.api,False,0.95,Class appears to be correctly placed,io.spring.api,No misplacement indicators found,llm+embedding,3.17,2025-08-10T00:04:10.909326
TagsApi,TagsApi,io.spring.api,False,0.95,Class appears to be correctly placed,io.spring.api,No misplacement indicators found,llm+embedding,3.17,2025-08-10T00:04:10.909326
UsersApi,UsersApi,io.spring.api,True,0.8,"Contains controller-typical methods: createUser, checkInput, getEmail",controller,"Annotations: RestController, RequestMapping, RequestMapping; Methods: createUser, checkInput, getEmail",rule-based + semantic analysis,3.17,2025-08-10T00:04:10.909326
LoginParam,LoginParam,io.spring.api,False,0.95,Class appears to be correctly placed,io.spring.api,No misplacement indicators found,llm+embedding,3.17,2025-08-10T00:04:10.909326
RegisterParam,RegisterParam,io.spring.api,False,0.95,Class appears to be correctly placed,io.spring.api,No misplacement indicators found,llm+embedding,3.17,2025-08-10T00:04:10.909326
CustomizeExceptionHandler,CustomizeExceptionHandler,io.spring.api.exception,False,0.95,Class appears to be correctly placed,io.spring.api.exception,No misplacement indicators found,llm+embedding,3.17,2025-08-10T00:04:10.909326
ErrorResource,ErrorResource,io.spring.api.exception,False,0.95,Class appears to be correctly placed,io.spring.api.exception,No misplacement indicators found,llm+embedding,3.17,2025-08-10T00:04:10.909326
ErrorResourceSerializer,ErrorResourceSerializer,io.spring.api.exception,False,0.95,Class appears to be correctly placed,io.spring.api.exception,No misplacement indicators found,llm+embedding,3.17,2025-08-10T00:04:10.909326
FieldErrorResource,FieldErrorResource,io.spring.api.exception,False,0.95,Class appears to be correctly placed,io.spring.api.exception,No misplacement indicators found,llm+embedding,3.17,2025-08-10T00:04:10.909326
InvalidRequestException,InvalidRequestException,io.spring.api.exception,False,0.95,Class appears to be correctly placed,io.spring.api.exception,No misplacement indicators found,llm+embedding,3.17,2025-08-10T00:04:10.909326
NoAuthorizationException,NoAuthorizationException,io.spring.api.exception,False,0.95,Class appears to be correctly placed,io.spring.api.exception,No misplacement indicators found,llm+embedding,3.17,2025-08-10T00:04:10.909326
