class_id,class_name,current_package,is_misplaced,confidence,reasoning,suggested_package,evidence,method_used,analysis_time,analysis_timestamp
JacksonCustomizations,JacksonCustomizations,io.spring,False,0.95,Class appears to be correctly placed,io.spring,No misplacement indicators found,llm+embedding,3.57,2025-08-06T00:26:10.560069
RealWorldModules,RealWorldModules,io.spring,False,0.95,Class appears to be correctly placed,io.spring,No misplacement indicators found,llm+embedding,3.57,2025-08-06T00:26:10.560069
DateTimeSerializer,DateTimeSerializer,io.spring,False,0.95,Class appears to be correctly placed,io.spring,No misplacement indicators found,llm+embedding,3.57,2025-08-06T00:26:10.560069
MyBatisConfig,MyBatisConfig,io.spring,False,0.95,Class appears to be correctly placed,io.spring,No misplacement indicators found,llm+embedding,3.57,2025-08-06T00:26:10.560069
RealWorldApplication,RealWorldApplication,io.spring,False,0.95,Class appears to be correctly placed,io.spring,No misplacement indicators found,llm+embedding,3.57,2025-08-06T00:26:10.560069
Util,Util,io.spring,False,0.95,Class appears to be correctly placed,io.spring,No misplacement indicators found,llm+embedding,3.57,2025-08-06T00:26:10.560069
ArticleApi,ArticleApi,io.spring.api,True,0.6000000000000001,Contains controller-typical methods: deleteArticle,controller,"Annotations: RestController, RequestMapping, GetMapping; Methods: deleteArticle",rule-based + semantic analysis,3.57,2025-08-06T00:26:10.560069
ArticleFavoriteApi,ArticleFavoriteApi,io.spring.api,False,0.95,Class appears to be correctly placed,io.spring.api,No misplacement indicators found,llm+embedding,3.57,2025-08-06T00:26:10.560069
ArticlesApi,ArticlesApi,io.spring.api,True,0.8,"Contains controller-typical methods: createArticle, getFeed, getArticles",controller,"Annotations: RestController, RequestMapping, PostMapping, GetMapping, GetMapping; Methods: createArticle, getFeed, getArticles",rule-based + semantic analysis,3.57,2025-08-06T00:26:10.560069
CommentsApi,CommentsApi,io.spring.api,True,0.7,"Contains controller-typical methods: getComments, deleteComment",controller,"Annotations: RestController, RequestMapping, PostMapping, GetMapping, RequestMapping; Methods: getComments, deleteComment",rule-based + semantic analysis,3.57,2025-08-06T00:26:10.560069
NewCommentParam,NewCommentParam,io.spring.api,False,0.95,Class appears to be correctly placed,io.spring.api,No misplacement indicators found,llm+embedding,3.57,2025-08-06T00:26:10.560069
CurrentUserApi,CurrentUserApi,io.spring.api,False,0.95,Class appears to be correctly placed,io.spring.api,No misplacement indicators found,llm+embedding,3.57,2025-08-06T00:26:10.560069
ProfileApi,ProfileApi,io.spring.api,False,0.95,Class appears to be correctly placed,io.spring.api,No misplacement indicators found,llm+embedding,3.57,2025-08-06T00:26:10.560069
TagsApi,TagsApi,io.spring.api,False,0.95,Class appears to be correctly placed,io.spring.api,No misplacement indicators found,llm+embedding,3.57,2025-08-06T00:26:10.560069
UsersApi,UsersApi,io.spring.api,False,0.95,Class appears to be correctly placed,io.spring.api,No misplacement indicators found,llm+embedding,3.57,2025-08-06T00:26:10.560069
LoginParam,LoginParam,io.spring.api,False,0.95,Class appears to be correctly placed,io.spring.api,No misplacement indicators found,llm+embedding,3.57,2025-08-06T00:26:10.560069
CustomizeExceptionHandler,CustomizeExceptionHandler,io.spring.api.exception,False,0.95,Class appears to be correctly placed,io.spring.api.exception,No misplacement indicators found,llm+embedding,3.57,2025-08-06T00:26:10.560069
ErrorResource,ErrorResource,io.spring.api.exception,False,0.95,Class appears to be correctly placed,io.spring.api.exception,No misplacement indicators found,llm+embedding,3.57,2025-08-06T00:26:10.560069
ErrorResourceSerializer,ErrorResourceSerializer,io.spring.api.exception,False,0.95,Class appears to be correctly placed,io.spring.api.exception,No misplacement indicators found,llm+embedding,3.57,2025-08-06T00:26:10.560069
FieldErrorResource,FieldErrorResource,io.spring.api.exception,False,0.95,Class appears to be correctly placed,io.spring.api.exception,No misplacement indicators found,llm+embedding,3.57,2025-08-06T00:26:10.560069
InvalidAuthenticationException,InvalidAuthenticationException,io.spring.api.exception,False,0.95,Class appears to be correctly placed,io.spring.api.exception,No misplacement indicators found,llm+embedding,3.57,2025-08-06T00:26:10.560069
InvalidRequestException,InvalidRequestException,io.spring.api.exception,False,0.95,Class appears to be correctly placed,io.spring.api.exception,No misplacement indicators found,llm+embedding,3.57,2025-08-06T00:26:10.560069
NoAuthorizationException,NoAuthorizationException,io.spring.api.exception,False,0.95,Class appears to be correctly placed,io.spring.api.exception,No misplacement indicators found,llm+embedding,3.57,2025-08-06T00:26:10.560069
ResourceNotFoundException,ResourceNotFoundException,io.spring.api.exception,False,0.95,Class appears to be correctly placed,io.spring.api.exception,No misplacement indicators found,llm+embedding,3.57,2025-08-06T00:26:10.560069
JwtTokenFilter,JwtTokenFilter,io.spring.api.security,False,0.95,Class appears to be correctly placed,io.spring.api.security,No misplacement indicators found,llm+embedding,3.57,2025-08-06T00:26:10.560069
WebSecurityConfig,WebSecurityConfig,io.spring.api.security,False,0.95,Class appears to be correctly placed,io.spring.api.security,No misplacement indicators found,llm+embedding,3.57,2025-08-06T00:26:10.560069
