class_id,class_name,current_package,is_misplaced,confidence,reasoning,suggested_package,evidence,method_used,analysis_time,analysis_timestamp
MavenWrapperDownloader,MavenWrapperDownloader,default,False,0.95,Class appears to be correctly placed,default,No misplacement indicators found,llm+embedding,4.84,2025-08-09T23:58:45.355729
BaseException,BaseException,gt.common.config,False,0.95,Class appears to be correctly placed,gt.common.config,No misplacement indicators found,llm+embedding,4.84,2025-08-09T23:58:45.355729
CommonExceptionHandler,CommonExceptionHandler,gt.common.config,True,0.6000000000000001,Semantic analysis suggests better fit in service package,service,Name matches service pattern,rule-based + semantic analysis,4.84,2025-08-09T23:58:45.355729
PaginationCustomizer,PaginationCustomizer,gt.common.config,False,0.95,Class appears to be correctly placed,gt.common.config,No misplacement indicators found,llm+embedding,4.84,2025-08-09T23:58:45.355729
ReqLogFilter,ReqLogFilter,gt.common.config,False,0.95,Class appears to be correctly placed,gt.common.config,No misplacement indicators found,llm+embedding,4.84,2025-08-09T23:58:45.355729
ArticleSummaryDto,ArticleSummaryDto,gt.common.dtos,False,0.95,Class appears to be correctly placed,gt.common.dtos,No misplacement indicators found,llm+embedding,4.84,2025-08-09T23:58:45.355729
TestUtil,TestUtil,gt.common.test,False,0.95,Class appears to be correctly placed,gt.common.test,No misplacement indicators found,llm+embedding,4.84,2025-08-09T23:58:45.355729
ContentCheckerService,ContentCheckerService,gt.contentchecker,False,0.95,Class appears to be correctly placed,gt.contentchecker,No misplacement indicators found,llm+embedding,4.84,2025-08-09T23:58:45.355729
ContentCheckHandler,ContentCheckHandler,gt.contentchecker,False,0.95,Class appears to be correctly placed,gt.contentchecker,No misplacement indicators found,llm+embedding,4.84,2025-08-09T23:58:45.355729
ContentChecker,ContentChecker,gt.contentchecker,False,0.95,Class appears to be correctly placed,gt.contentchecker,No misplacement indicators found,llm+embedding,4.84,2025-08-09T23:58:45.355729
ExceptionHandler,ExceptionHandler,gt.contentchecker,True,0.6000000000000001,Semantic analysis suggests better fit in service package,service,Name matches service pattern,rule-based + semantic analysis,4.84,2025-08-09T23:58:45.355729
JMSConfig,JMSConfig,gt.contentchecker,False,0.95,Class appears to be correctly placed,gt.contentchecker,No misplacement indicators found,llm+embedding,4.84,2025-08-09T23:58:45.355729
ContentCheckerAppTest,ContentCheckerAppTest,gt.contentchecker,False,0.95,Class appears to be correctly placed,gt.contentchecker,No misplacement indicators found,llm+embedding,4.84,2025-08-09T23:58:45.355729
ContentCheckOutcome,ContentCheckOutcome,gt.contentchecker,False,0.95,Class appears to be correctly placed,gt.contentchecker,No misplacement indicators found,llm+embedding,4.84,2025-08-09T23:58:45.355729
