class_id,class_name,current_package,is_misplaced,confidence,reasoning,suggested_package,evidence,method_used,analysis_time,analysis_timestamp
JavaSourceExplorer,JavaSourceExplorer,default,False,0.95,Class appears to be correctly placed,default,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
names,names,default,False,0.95,Class appears to be correctly placed,default,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
name,name,default,False,0.95,Class appears to be correctly placed,default,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
EdgeRecord,EdgeRecord,default,False,0.95,Class appears to be correctly placed,default,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
PetClinicApplication,PetClinicApplication,org.springframework.samples.petclinic,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
PetClinicRuntimeHints,PetClinicRuntimeHints,org.springframework.samples.petclinic,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
for,for,org.springframework.samples.petclinic.model,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.model,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
public,public,org.springframework.samples.petclinic.model,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.model,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
BaseEntity,BaseEntity,org.springframework.samples.petclinic.model,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.model,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
for,for,org.springframework.samples.petclinic.model,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.model,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
public,public,org.springframework.samples.petclinic.model,False,0.95,Class appears to be correctly placed,org.springframework.samples.petclinic.model,No misplacement indicators found,llm+embedding,1.9,2025-08-10T12:16:01.247677
